ticker,name,sector
AAPL,AAPL,Unknown
AMZN,AMZN,Unknown
BAC,BAC,Unknown
CSCO,CSCO,Unknown
CVX,CVX,Unknown
DIS,DIS,Unknown
GOOGL,GOOGL,Unknown
HD,HD,Unknown
INTC,INTC,Unknown
JNJ,JNJ,Unknown
JPM,JPM,Unknown
KO,KO,Unknown
META,META,Unknown
MSFT,MSFT,Unknown
NFLX,NFLX,Unknown
NVDA,NVDA,Unknown
ORCL,ORCL,Unknown
PFE,PFE,Unknown
PG,PG,Unknown
T,T,Unknown
TSLA,TSLA,Unknown
V,V,Unknown
VZ,VZ,Unknown
WMT,WMT,Unknown
XOM,XOM,Unknown
