ticker
AAPL
MSFT
AMZN
GOOGL
META
NVDA
TSLA
JPM
JNJ
V
PG
HD
BAC
XOM
CVX
PFE
KO
DIS
NFLX
INTC
CSCO
ORCL
T
VZ
WMT
