ticker,n,mae,smape,mase,model,split
AAPL,21,0.008417617529630661,1.6932153701782227,0.810430133635107,lin_lags,2
AMZN,21,0.007616207003593445,1.6724541187286377,0.7476839218386381,lin_lags,2
BAC,21,0.008425776846706867,1.6655737161636353,0.8597475638872412,lin_lags,2
CSCO,21,0.010934174992144108,1.8155330419540405,0.8777715116092115,lin_lags,2
CVX,21,0.007218549493700266,1.528525710105896,0.6766185650792177,lin_lags,2
DIS,21,0.009422008879482746,1.6790997982025146,0.7760898203518561,lin_lags,2
GOOGL,21,0.006377396639436483,1.6226190328598022,0.5842100664589622,lin_lags,2
HD,21,0.009799128398299217,1.5657743215560913,0.8242052370797562,lin_lags,2
INTC,21,0.007461241912096739,1.7848223447799683,0.6710186634516775,lin_lags,2
JNJ,21,0.005633985623717308,1.472347617149353,0.49725935678881367,lin_lags,2
JPM,21,0.009112702682614326,1.7850886583328247,0.8549138570839343,lin_lags,2
KO,21,0.007562735117971897,1.5046281814575195,0.8047159634245951,lin_lags,2
META,21,0.008085569366812706,1.6880334615707397,0.7908980099725957,lin_lags,2
MSFT,21,0.008227885700762272,1.4199888706207275,0.8466772520118314,lin_lags,2
NFLX,21,0.011558056809008121,1.7317043542861938,1.1141920412067898,lin_lags,2
NVDA,21,0.008159647695720196,1.8578609228134155,0.5971557426462414,lin_lags,2
ORCL,21,0.007844171486794949,1.583896279335022,0.7629236919314815,lin_lags,2
PFE,21,0.009512816555798054,1.6260721683502197,0.8468876864805079,lin_lags,2
PG,21,0.009597785770893097,1.6740115880966187,0.8195268831280401,lin_lags,2
T,21,0.0076594045385718346,1.7539438009262085,0.6883930074476381,lin_lags,2
TSLA,21,0.011556176468729973,1.7461769580841064,1.0778538976585972,lin_lags,2
V,21,0.006617151666432619,1.6144402027130127,0.5701745797476858,lin_lags,2
VZ,21,0.009682982228696346,1.7001256942749023,0.8681625046869413,lin_lags,2
WMT,21,0.006783489603549242,1.8046153783798218,0.6425607465242723,lin_lags,2
XOM,21,0.009216134436428547,1.699449062347412,0.9089298282150735,lin_lags,2
AAPL,21,0.013785974122583866,1.5756276845932007,1.3272839744889178,naive,2
AMZN,21,0.00926322489976883,1.4010249376296997,0.9093718590716752,naive,2
BAC,21,0.012102125212550163,1.6236933469772339,1.2348739895022223,naive,2
CSCO,21,0.016169268637895584,1.5718953609466553,1.298033311529972,naive,2
CVX,21,0.013027622364461422,1.5167471170425415,1.2211222155266175,naive,2
DIS,21,0.012591825798153877,1.5134857892990112,1.037187286340957,naive,2
GOOGL,21,0.00936659425497055,1.4806171655654907,0.8580395671726635,naive,2
HD,21,0.012692774645984173,1.465043306350708,1.0675899846469041,naive,2
INTC,21,0.01152811385691166,1.62758469581604,1.036768361556822,naive,2
JNJ,21,0.008226104080677032,1.5744189023971558,0.7260414735201928,naive,2
JPM,21,0.011884425766766071,1.4551491737365723,1.114944778224548,naive,2
KO,21,0.009117087349295616,1.3557460308074951,0.9701074565576068,naive,2
META,21,0.009504045359790325,1.4444671869277954,0.9296476501209601,naive,2
MSFT,21,0.012497766874730587,1.4236215353012085,1.2860624586460965,naive,2
NFLX,21,0.01600002869963646,1.4826829433441162,1.542396350078594,naive,2
NVDA,21,0.011767069809138775,1.4352974891662598,0.8611613604754079,naive,2
ORCL,21,0.010269672609865665,1.39143705368042,0.9988277991673051,naive,2
PFE,21,0.012745019979774952,1.6535311937332153,1.1346377197025594,naive,2
PG,21,0.011341745033860207,1.3729565143585205,0.9684384689040078,naive,2
T,21,0.011296491138637066,1.4587111473083496,1.0152780766926235,naive,2
TSLA,21,0.013475353829562664,1.210506558418274,1.256857117648279,naive,2
V,21,0.011064697988331318,1.7311890125274658,0.9534025882367336,naive,2
VZ,21,0.015622062608599663,1.6729375123977661,1.4006520596995933,naive,2
WMT,21,0.01001590583473444,1.449164628982544,0.9487488455671012,naive,2
XOM,21,0.01199253834784031,1.4045482873916626,1.1827492204626853,naive,2
AAPL,17,0.010451531037688255,1.3930213451385498,,s5,2
AMZN,17,0.011919891461730003,1.5555921792984009,,s5,2
BAC,17,0.012372479774057865,1.6180998086929321,,s5,2
CSCO,17,0.013546069152653217,1.4376779794692993,,s5,2
CVX,17,0.011455230414867401,1.4782545566558838,,s5,2
DIS,17,0.01162126287817955,1.405227541923523,,s5,2
GOOGL,17,0.009358343668282032,1.5368276834487915,,s5,2
HD,17,0.013579126447439194,1.4209944009780884,,s5,2
INTC,17,0.010374576784670353,1.4747898578643799,,s5,2
JNJ,17,0.008861446753144264,1.5691345930099487,,s5,2
JPM,17,0.008009803481400013,0.9558563232421875,,s5,2
KO,17,0.009995589964091778,1.3836971521377563,,s5,2
META,17,0.011261068284511566,1.6396911144256592,,s5,2
MSFT,17,0.013963811099529266,1.678428292274475,,s5,2
NFLX,17,0.012831226922571659,1.1144208908081055,,s5,2
NVDA,17,0.009895281866192818,1.273887276649475,,s5,2
ORCL,17,0.013391158543527126,1.8355870246887207,,s5,2
PFE,17,0.009294770658016205,1.2035824060440063,,s5,2
PG,17,0.012827713042497635,1.457411527633667,,s5,2
T,17,0.011965077370405197,1.4775686264038086,,s5,2
TSLA,17,0.012295624241232872,1.1468589305877686,,s5,2
V,17,0.009240343235433102,1.4984010457992554,,s5,2
VZ,17,0.013084091246128082,1.5311412811279297,,s5,2
WMT,17,0.009531192481517792,1.4750667810440063,,s5,2
XOM,17,0.010004444979131222,1.2432582378387451,,s5,2
