ticker,n,mae,smape,mase
AAPL,21,0.010763226076960564,1.444954514503479,
AMZN,21,0.011430293321609497,1.3970367908477783,
BAC,21,0.009802620857954025,1.7400617599487305,
CSCO,21,0.01214506383985281,1.6464544534683228,
CVX,21,0.01400008238852024,1.6043344736099243,
DIS,21,0.009861339814960957,1.1602914333343506,
GOOGL,21,0.011298534460365772,1.3382368087768555,
HD,21,0.013527956791222095,1.4601402282714844,
INTC,21,0.014288200996816158,1.5989265441894531,
JNJ,21,0.009021599777042866,1.37880539894104,
JPM,21,0.012852417305111885,1.6234731674194336,
KO,21,0.01336252223700285,1.5985009670257568,
META,21,0.009108064696192741,1.211667776107788,
MSFT,21,0.011495016515254974,1.4704018831253052,
NFLX,21,0.010086781345307827,1.6820558309555054,
NVDA,21,0.01143343560397625,1.2662439346313477,
ORCL,21,0.011298395693302155,1.3472816944122314,
PFE,21,0.012385805137455463,1.458294153213501,
PG,21,0.009724010713398457,1.2818399667739868,
T,21,0.00911247730255127,1.3180509805679321,
TSLA,21,0.011949382722377777,1.5041559934616089,
V,21,0.011736094020307064,1.4498305320739746,
VZ,21,0.013360013253986835,1.4497143030166626,
WMT,21,0.011093228124082088,1.4487224817276,
XOM,21,0.012253115884959698,1.4936825037002563,
