ticker,n,mae,smape,mase
AAPL,42,0.010718964040279388,1.40169358253479,
AMZN,42,0.011615851894021034,1.4638036489486694,
BAC,42,0.010755224153399467,1.5071907043457031,
CSCO,42,0.012046548537909985,1.3787978887557983,
CVX,42,0.01190026756376028,1.4921830892562866,
DIS,42,0.011961939744651318,1.4351056814193726,
GOOGL,42,0.010037405416369438,1.4047273397445679,
HD,42,0.013050374574959278,1.3998441696166992,
INTC,42,0.011550076305866241,1.4584996700286865,
JNJ,42,0.009723369963467121,1.4931987524032593,
JPM,42,0.011665675789117813,1.3474693298339844,
KO,42,0.011029059998691082,1.4117786884307861,
META,42,0.012705529108643532,1.585928201675415,
MSFT,42,0.011899363249540329,1.483845829963684,
NFLX,42,0.010298383422195911,1.2637325525283813,
NVDA,42,0.012094153091311455,1.4079946279525757,
ORCL,42,0.01435909140855074,1.6027623414993286,
PFE,42,0.01154858898371458,1.3965708017349243,
PG,42,0.0119985556229949,1.394350290298462,
T,42,0.01127624325454235,1.4718290567398071,
TSLA,42,0.012065808288753033,1.2541437149047852,
V,42,0.00942289363592863,1.4142332077026367,
VZ,42,0.011029569432139397,1.3663147687911987,
WMT,42,0.013067360036075115,1.5972380638122559,
XOM,42,0.010250682011246681,1.3629916906356812,
