ticker,n,mae,smape,mase
AAPL,21,0.009643233381211758,1.242367148399353,
AMZN,21,0.012599893845617771,1.6760762929916382,
BAC,21,0.012284034863114357,1.6618707180023193,
CSCO,21,0.01824149303138256,1.773185133934021,
CVX,21,0.010607288219034672,1.4313687086105347,
DIS,21,0.015775546431541443,1.8027056455612183,
GOOGL,21,0.010201476514339447,1.6566245555877686,
HD,21,0.012525379657745361,1.5070291757583618,
INTC,21,0.008807264268398285,1.4729219675064087,
JNJ,21,0.008983895182609558,1.6504218578338623,
JPM,21,0.012523212470114231,1.4290952682495117,
KO,21,0.011707642115652561,1.5699313879013062,
META,21,0.010222460143268108,1.5467476844787598,
MSFT,21,0.01402433030307293,1.7144157886505127,
NFLX,21,0.015070565044879913,1.4630537033081055,
NVDA,21,0.011435775086283684,1.4647361040115356,
ORCL,21,0.00919533520936966,1.4269647598266602,
PFE,21,0.011135264299809933,1.3256067037582397,
PG,21,0.014027142897248268,1.515965461730957,
T,21,0.009252838790416718,1.403664469718933,
TSLA,21,0.015468418598175049,1.4093799591064453,
V,21,0.009332354180514812,1.5457285642623901,
VZ,21,0.013468902558088303,1.3530781269073486,
WMT,21,0.009354417212307453,1.4288060665130615,
XOM,21,0.009316051378846169,1.2400506734848022,
