ticker,n,mae,smape,mase
AAPL,21,0.010514739900827408,1.4197998046875,
AMZN,21,0.012170970439910889,1.508173942565918,
BAC,21,0.013470902107656002,1.6710991859436035,
CSCO,21,0.011777306906878948,1.282361388206482,
CVX,21,0.011042080819606781,1.4969736337661743,
DIS,21,0.011821610853075981,1.4549705982208252,
GOOGL,21,0.008861224167048931,1.414239764213562,
HD,21,0.012295110151171684,1.3871150016784668,
INTC,21,0.009631795808672905,1.4489988088607788,
JNJ,21,0.009728789329528809,1.559739112854004,
JPM,21,0.008333800360560417,1.0574232339859009,
KO,21,0.009993692860007286,1.3873910903930664,
META,21,0.011219466105103493,1.5637186765670776,
MSFT,21,0.013553906232118607,1.6531132459640503,
NFLX,21,0.012718535959720612,1.1944620609283447,
NVDA,21,0.010709884576499462,1.3241933584213257,
ORCL,21,0.013098820112645626,1.751280426979065,
PFE,21,0.009112155064940453,1.2896502017974854,
PG,21,0.013536388985812664,1.5607614517211914,
T,21,0.012196342460811138,1.4751936197280884,
TSLA,21,0.012277968227863312,1.174267292022705,
V,21,0.00977599248290062,1.511189579963684,
VZ,21,0.01283933874219656,1.5022684335708618,
WMT,21,0.010175337083637714,1.5413281917572021,
XOM,21,0.009792490862309933,1.2814818620681763,
