ticker,n,mae,smape,mase
AAPL,21,0.009073685854673386,1.6945950984954834,
AMZN,21,0.008968700654804707,1.2949519157409668,
BAC,21,0.008982748724520206,1.6843843460083008,
CSCO,21,0.01067876536399126,1.3533045053482056,
CVX,21,0.010116109624505043,1.4235156774520874,
DIS,21,0.012873411178588867,1.4245202541351318,
GOOGL,21,0.010360531508922577,1.51371169090271,
HD,21,0.01181784551590681,1.4800703525543213,
INTC,21,0.010061481036245823,1.4315179586410522,
JNJ,21,0.011716450564563274,1.297804832458496,
JPM,21,0.012697006575763226,1.5785253047943115,
KO,21,0.01011204905807972,1.578282117843628,
META,21,0.009035716764628887,1.3269718885421753,
MSFT,21,0.010973957367241383,1.4391238689422607,
NFLX,21,0.008879526518285275,1.417225956916809,
NVDA,21,0.015397125855088234,1.3384405374526978,
ORCL,21,0.008667872287333012,1.1262001991271973,
PFE,21,0.008891203440725803,1.2905298471450806,
PG,21,0.012714914046227932,1.4793181419372559,
T,21,0.009045998565852642,1.3677868843078613,
TSLA,21,0.010112224146723747,1.2995655536651611,
V,21,0.014478499069809914,1.407677412033081,
VZ,21,0.010459115728735924,1.3387433290481567,
WMT,21,0.010654550977051258,1.3804609775543213,
XOM,21,0.011612830683588982,1.6115431785583496,
