regime,macro_mae,macro_smape,macro_mase,micro_mae,micro_smape,micro_mase,split,model
low,0.011444265595995463,1.4295201513629694,1.0525946132275865,0.010352823740014663,1.4561243131756783,0.944615343752501,3,naive
med,0.011111694993451238,1.4077136635780334,1.0217815259908742,0.010622100042248214,1.369557950231764,0.973312894587633,3,naive
high,0.011915528890676796,1.4451526433229447,1.0984212433965916,0.012417287662993748,1.496628034464169,1.1427066289475634,3,naive
low,0.009186160750687122,1.622258186340332,0.8469990257381069,0.007606051241358121,1.6394767221222577,0.6930959385586353,3,lin_lags
med,0.008779529039748013,1.6415100812911987,0.812601004517243,0.00858983587887552,1.645220994066309,0.7904868836639073,3,lin_lags
high,0.007953682402148842,1.5667695105075836,0.7293356766133106,0.008046804415573785,1.5886878770786328,0.7389487254190656,3,lin_lags
