ticker,n,mae,smape,mase
AAPL,42,0.012687228620052338,1.5102910995483398,
AMZN,42,0.01054452359676361,1.4266164302825928,
BAC,42,0.010934058576822281,1.681877851486206,
CSCO,42,0.013870605267584324,1.5704832077026367,
CVX,42,0.013107569888234138,1.524648904800415,
DIS,42,0.011261305771768093,1.3345770835876465,
GOOGL,42,0.010682813823223114,1.4094270467758179,
HD,42,0.013245411217212677,1.463564395904541,
INTC,42,0.012770484201610088,1.619925856590271,
JNJ,42,0.008718257769942284,1.459057092666626,
JPM,42,0.012474502436816692,1.5646417140960693,
KO,42,0.01105034165084362,1.477123498916626,
META,42,0.009004640392959118,1.2846832275390625,
MSFT,42,0.012009365484118462,1.4470117092132568,
NFLX,42,0.013235864229500294,1.6011234521865845,
NVDA,42,0.011569221504032612,1.3476436138153076,
ORCL,42,0.010781950317323208,1.369377613067627,
PFE,42,0.012464680708944798,1.5394418239593506,
PG,42,0.01065968070179224,1.3476885557174683,
T,42,0.010328216478228569,1.3809312582015991,
TSLA,42,0.012655886821448803,1.3573312759399414,
V,42,0.010765322484076023,1.5526212453842163,
VZ,42,0.01414086576551199,1.5613257884979248,
WMT,42,0.010603413917124271,1.4489436149597168,
XOM,42,0.012143747881054878,1.4337126016616821,
