ticker,n,mae,smape,mase
AAPL,21,0.010872258804738522,1.4219591617584229,
AMZN,21,0.010739385150372982,1.341394305229187,
BAC,21,0.008142777718603611,1.4061079025268555,
CSCO,21,0.011877347715198994,1.4536333084106445,
CVX,21,0.012496722862124443,1.4873926639556885,
DIS,21,0.012770882807672024,1.4152406454086304,
GOOGL,21,0.010198019444942474,1.3156744241714478,
HD,21,0.013523228466510773,1.473447561264038,
INTC,21,0.013494976796209812,1.4110019207000732,
JNJ,21,0.008791941218078136,1.426658272743225,
JPM,21,0.016192015260457993,1.7164705991744995,
KO,21,0.012440795078873634,1.3988221883773804,
META,21,0.013787654228508472,1.528031349182129,
MSFT,21,0.010965104214847088,1.3773764371871948,
NFLX,21,0.007670513354241848,1.2862567901611328,
NVDA,21,0.012184442952275276,1.4077528715133667,
ORCL,21,0.015823205932974815,1.4758700132369995,
PFE,21,0.013875492848455906,1.5164968967437744,
PG,21,0.011702830903232098,1.3150321245193481,
T,21,0.010169031098484993,1.4783662557601929,
TSLA,21,0.011050630360841751,1.253777027130127,
V,21,0.010567760095000267,1.404981017112732,
VZ,21,0.009961580857634544,1.2828904390335083,
WMT,21,0.016141191124916077,1.6531482934951782,
XOM,21,0.010500242002308369,1.444501519203186,
